Trail, MP Name Dist From Tr Type Phone
C&O 11.5	 Marsden Tract Group  Camp	 Beside trail	 Primitive	 301-767-3731
C&O 16.6	 Swains Lock Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 26.0	 Horsepen Branch Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 30.5	 Chisel Branch Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 34.4	 Turtle Run Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 38.2	 Marble Quarry Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 42.4	 Indian Flats Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 47.6	 Calico Rocks Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 50.3	 Bald Eagle Island Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 54.0	 Brunswick Family Campground	 Beside trail	 Public developed	 301-834-8050
C&O 59.6	 Harpers Ferry Hostel (uphill)	 0.3 mi SE	 Tents at hostel	 301-834-7652
C&O 62.9	 Huckleberry Hill Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 69.4	 Antietam Walk-in Camp	 Beside trail	 NPS primitive	 301-739-4200
C&O 75.3	 Killiansburg Cave Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 79.9	 Horseshoe Bend Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 82.5	 Big Woods Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 88.1	 McMahon’s Mill Campground	 On detour	 Commercial	 301-223-8778
C&O 90.9	 Opequon Junction Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 95.2	 Cumberland Valley Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 99.4	 Yogi Bear Jellystone Ground	 3 mi SE	 Commercial	 800-421-7116
C&O 99.4	 KOA Snug Harbor	 2.5 mi NE	 Commercial	 301-223-7571
C&O 101.3	 Jordan Junction Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 110.0	 North Mountain Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 110.4	 McCoy’s Ferry Drive-in Camp	 0.1 mi	 NPS primitive	 301-739-4200
C&O 112.4	 Ft Frederick State Park	 0.25 mi W	 Public developed	 301-842-2155
C&O 116.0	 Licking Creek Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 120.4	 Little Pool Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 126.4	 White Rock Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
C&O 129.2	 Happy Hills Campground (steep)	 1 mi N	 Commercial	 301-678-7760
C&O 129.8	 Leopards Mill Hiker-Biker	 Beside trail	 Primitive, no cars	 301-739-4200
